race_id,date,spread,pick_ratio,num_horses,num_picks,invest,payout,profit,hit,winner,win_odds,top1_num,top1_odds,top1_hit,top1_payout,venue,surface,distance,dist_band,race_class
202106010201,20210109,14.041,0.188,16,3,1000,1480,480,1,13,3.7,11,3.1,0,0,中山,ダート,1200,sprint(~1200),未勝利
202106010202,20210109,22.831,0.188,16,3,1000,1530,530,1,5,5.1,2,3.0,0,0,中山,ダート,1800,middle(1601-2000),未勝利
202106010203,20210109,17.91,0.188,16,3,1000,1350,350,1,12,4.5,8,3.6,0,0,中山,ダート,1200,sprint(~1200),新馬
202106010204,20210109,23.6,0.188,16,3,1000,1170,170,1,14,3.9,4,3.0,0,0,中山,ダート,1800,middle(1601-2000),1勝
202106010205,20210109,15.506,0.188,16,3,900,1140,240,1,11,3.8,1,2.7,0,0,中山,苝,1600,mile(1201-1600),新馬
202106010206,20210109,32.621,0.125,16,2,1000,0,-1000,0,11,24.9,2,1.8,0,0,中山,苝,2000,middle(1601-2000),未勝利
202106010207,20210109,7.193,0.188,16,3,1000,1440,440,1,16,3.6,16,3.6,1,360,中山,ダート,1200,sprint(~1200),1勝
202106010208,20210109,14.936,0.286,14,4,900,1050,150,1,2,3.5,2,3.5,1,350,中山,,3200,ultralong(2401~),OP
202106010209,20210109,8.782,0.231,13,3,1000,0,-1000,0,3,30.9,4,3.0,0,0,中山,ダート,1800,middle(1601-2000),1勝
202106010210,20210109,6.097,0.312,16,5,1000,1080,80,1,16,2.7,16,2.7,1,270,中山,ダート,1200,sprint(~1200),3勝
202106010211,20210109,8.169,0.25,16,4,1000,0,-1000,0,14,91.1,12,5.0,0,0,中山,苝,1600,mile(1201-1600),OP
202106010212,20210109,10.55,0.231,13,3,1000,0,-1000,0,6,6.5,12,3.2,0,0,中山,苝,2200,long(2001-2400),2勝
202106010301,20210109,16.467,0.188,16,3,1000,1440,440,1,8,3.6,8,3.6,1,360,中山,ダート,1200,sprint(~1200),未勝利
202106010302,20210109,18.113,0.188,16,3,1100,1290,190,1,3,4.3,14,2.5,0,0,中山,ダート,1800,middle(1601-2000),未勝利
202106010303,20210109,14.513,0.188,16,3,1100,1120,20,1,7,1.6,7,1.6,1,160,中山,ダート,1800,middle(1601-2000),未勝利
202106010304,20210109,23.49,0.167,12,2,1000,0,-1000,0,3,43.9,12,1.8,0,0,中山,,2880,ultralong(2401~),未勝利
202106010305,20210109,32.259,0.125,16,2,1000,0,-1000,0,1,28.2,4,1.7,0,0,中山,苝,2200,long(2001-2400),未勝利
202106010306,20210109,13.572,0.188,16,3,1000,1180,180,1,16,5.9,12,2.3,0,0,中山,苝,2000,middle(1601-2000),新馬
202106010307,20210109,10.693,0.188,16,3,1000,0,-1000,0,13,31.4,12,2.4,0,0,中山,ダート,1200,sprint(~1200),1勝
202106010308,20210109,6.468,0.25,16,4,1100,0,-1100,0,5,14.3,4,3.2,0,0,中山,ダート,2400,long(2001-2400),1勝
202106010309,20210109,9.842,0.188,16,3,1000,0,-1000,0,16,9.9,8,2.5,0,0,中山,苝,1200,sprint(~1200),1勝
202106010310,20210109,5.127,0.25,16,4,1000,0,-1000,0,8,17.2,13,4.9,0,0,中山,苝,1600,mile(1201-1600),3勝
202106010311,20210109,5.6,0.25,16,4,1100,1360,260,1,6,3.4,6,3.4,1,340,中山,ダート,1800,middle(1601-2000),OP
202106010312,20210109,5.61,0.267,15,4,1000,1400,400,1,12,3.5,12,3.5,1,350,中山,苝,1600,mile(1201-1600),2勝
202106010401,20210109,12.681,0.125,16,2,1000,1200,200,1,15,1.5,15,1.5,1,150,中山,ダート,1200,sprint(~1200),未勝利
202106010402,20210109,18.321,0.188,16,3,1000,1320,320,1,16,3.3,3,3.2,0,0,中山,ダート,1800,middle(1601-2000),未勝利
202106010403,20210109,27.212,0.188,16,3,1000,1150,150,1,4,2.3,4,2.3,1,229,中山,ダート,1800,middle(1601-2000),未勝利
202106010404,20210109,15.409,0.188,16,3,1000,0,-1000,0,10,15.8,13,2.2,0,0,中山,ダート,1200,sprint(~1200),新馬
202106010405,20210109,9.446,0.25,16,4,1100,0,-1100,0,14,18.8,11,2.9,0,0,中山,苝,1600,mile(1201-1600),未勝利
202106010406,20210109,3.973,0.2,10,2,1000,0,-1000,0,10,16.5,1,1.5,0,0,中山,ダート,1800,middle(1601-2000),新馬
202106010407,20210109,20.381,0.188,16,3,1000,1050,50,1,16,3.5,8,2.9,0,0,中山,ダート,1800,middle(1601-2000),1勝
202106010408,20210109,9.48,0.188,16,3,1000,1240,240,1,6,3.1,6,3.1,1,310,中山,ダート,1200,sprint(~1200),2勝
202106010409,20210109,7.499,0.188,16,3,1000,0,-1000,0,12,16.6,8,2.9,0,0,中山,ダート,2400,long(2001-2400),2勝
202106010410,20210109,22.838,0.188,16,3,1100,0,-1100,0,2,9.5,7,3.4,0,0,中山,苝,2200,long(2001-2400),3勝
202106010411,20210109,15.635,0.188,16,3,900,1100,200,1,9,5.5,8,2.6,0,0,中山,苝,1600,mile(1201-1600),新馬
202106010412,20210109,6.676,0.25,16,4,1000,1590,590,1,12,5.3,12,5.3,1,530,中山,苝,2000,middle(1601-2000),1勝
202107010201,20210109,24.213,0.188,16,3,1000,0,-1000,0,7,256.0,1,2.7,0,0,中京,ダート,1800,middle(1601-2000),未勝利
202107010202,20210109,14.027,0.25,16,4,1000,1180,180,1,16,5.9,9,3.2,0,0,中京,ダート,1400,mile(1201-1600),未勝利
202107010203,20210109,8.44,0.188,16,3,1000,0,-1000,0,3,29.0,2,2.4,0,0,中京,ダート,1900,middle(1601-2000),未勝利
202107010204,20210109,4.131,0.267,15,4,1000,1210,210,1,7,12.1,2,1.7,0,0,中京,ダート,1200,sprint(~1200),新馬
202107010205,20210109,12.248,0.188,16,3,1000,1260,260,1,3,2.1,3,2.1,1,210,中京,苝,2000,middle(1601-2000),未勝利
202107010206,20210109,16.771,0.188,16,3,1000,1080,80,1,10,3.6,12,3.0,0,0,中京,苝,1600,mile(1201-1600),新馬
202107010207,20210109,4.941,0.231,13,3,1000,1350,350,1,3,2.7,3,2.7,1,270,中京,ダート,1800,middle(1601-2000),1勝
202107010208,20210109,13.609,0.231,13,3,1000,1120,120,1,8,5.6,9,2.3,0,0,中京,ダート,1800,middle(1601-2000),1勝
202107010209,20210109,10.663,0.2,15,3,900,940,40,1,12,4.7,5,1.7,0,0,中京,苝,1200,sprint(~1200),2勝
202107010210,20210109,15.657,0.188,16,3,1000,0,-1000,0,16,19.6,2,3.1,0,0,中京,ダート,1800,middle(1601-2000),2勝
202107010211,20210109,6.019,0.312,16,5,1100,1280,180,1,1,6.4,5,3.9,0,0,中京,苝,1200,sprint(~1200),OP
202107010212,20210109,7.222,0.25,16,4,1000,1140,140,1,11,3.8,15,3.6,0,0,中京,ダート,1400,mile(1201-1600),1勝
202107010301,20210109,8.15,0.188,16,3,1000,0,-1000,0,13,13.0,8,2.0,0,0,中京,ダート,1200,sprint(~1200),未勝利
202107010302,20210109,20.495,0.25,16,4,1000,1040,40,1,8,5.2,3,2.9,0,0,中京,ダート,1800,middle(1601-2000),未勝利
