race_id,date,spread,pick_ratio,num_horses,num_picks,invest,payout,profit,hit,winner,win_odds,top1_num,top1_odds,top1_hit,top1_payout,venue,surface,distance,dist_band,race_class
201906010101,20190105,21.335,0.188,16,3,1000,1170,170,1,9,3.9,6,2.4,0,0,中山,ダート,1200,sprint(~1200),未勝利
201906010102,20190105,25.4,0.188,16,3,1000,0,-1000,0,8,30.0,9,2.8,0,0,中山,ダート,1800,middle(1601-2000),未勝利
201906010103,20190105,19.897,0.188,16,3,900,1200,300,1,2,2.4,2,2.4,1,240,中山,ダート,1800,middle(1601-2000),未勝利
201906010104,20190105,16.327,0.125,16,2,1000,0,-1000,0,12,25.1,5,2.0,0,0,中山,ダート,1200,sprint(~1200),新馬
201906010105,20190105,15.753,0.188,16,3,1000,1290,290,1,8,4.3,13,2.1,0,0,中山,苝,2000,middle(1601-2000),新馬
201906010106,20190105,9.05,0.25,12,3,1000,0,-1000,0,3,11.1,4,2.2,0,0,中山,苝,2000,middle(1601-2000),G1
201906010107,20190105,14.391,0.188,16,3,1100,1440,340,1,14,3.6,8,2.8,0,0,中山,ダート,1800,middle(1601-2000),G1
201906010108,20190105,18.392,0.188,16,3,1100,1440,340,1,3,4.8,10,2.9,0,0,中山,ダート,1200,sprint(~1200),G1
201906010109,20190105,17.564,0.2,15,3,1000,1060,60,1,13,5.3,7,2.3,0,0,中山,ダート,1800,middle(1601-2000),G1
201906010110,20190105,12.273,0.125,16,2,1000,1360,360,1,12,1.7,12,1.7,1,170,中山,苝,1200,sprint(~1200),OP
201906010111,20190105,6.256,0.25,16,4,1100,1680,580,1,11,8.4,8,3.1,0,0,中山,苝,2000,middle(1601-2000),OP
201906010112,20190105,17.85,0.267,15,4,1100,1440,340,1,1,7.2,6,2.9,0,0,中山,苝,1600,mile(1201-1600),G1
201906010201,20190105,28.186,0.188,16,3,900,1180,280,1,12,5.9,14,3.3,0,0,中山,ダート,1200,sprint(~1200),未勝利
201906010202,20190105,30.093,0.125,16,2,1000,0,-1000,0,16,4.5,6,2.6,0,0,中山,ダート,1800,middle(1601-2000),未勝利
201906010203,20190105,10.346,0.188,16,3,1000,1120,120,1,3,1.6,3,1.6,1,160,中山,ダート,1800,middle(1601-2000),新馬
201906010204,20190105,9.455,0.214,14,3,1000,1250,250,1,6,2.5,6,2.5,1,250,中山,,2880,ultralong(2401~),未勝利
201906010205,20190105,11.632,0.25,16,4,1100,0,-1100,0,12,23.5,13,2.9,0,0,中山,苝,2000,middle(1601-2000),未勝利
201906010206,20190105,26.368,0.188,16,3,900,0,-900,0,12,15.0,13,2.5,0,0,中山,ダート,1200,sprint(~1200),G1
201906010207,20190105,12.474,0.125,16,2,1000,1520,520,1,10,1.9,10,1.9,1,190,中山,苝,2000,middle(1601-2000),G1
201906010208,20190105,11.429,0.25,16,4,1000,1240,240,1,15,6.2,12,3.3,0,0,中山,ダート,1800,middle(1601-2000),G1
201906010209,20190105,19.561,0.25,12,3,1000,1300,300,1,12,2.6,12,2.6,1,260,中山,苝,2200,long(2001-2400),G1
201906010210,20190105,6.171,0.3,10,3,1000,1120,120,1,10,5.6,6,2.4,0,0,中山,苝,1600,mile(1201-1600),OP
201906010211,20190105,14.156,0.154,13,2,1000,1120,120,1,6,1.4,6,1.4,1,140,中山,ダート,1800,middle(1601-2000),OP
201906010212,20190105,8.289,0.25,12,3,1000,1350,350,1,10,4.5,1,3.2,0,0,中山,苝,2000,middle(1601-2000),G1
201908010101,20190105,10.615,0.25,16,4,1000,1540,540,1,7,7.7,9,3.2,0,0,京都,ダート,1800,middle(1601-2000),未勝利
201908010102,20190105,20.338,0.188,16,3,1000,1500,500,1,1,3.0,1,3.0,1,300,京都,ダート,1800,middle(1601-2000),未勝利
201908010103,20190105,35.681,0.125,16,2,1000,1280,280,1,4,3.2,11,2.0,0,0,京都,ダート,1400,mile(1201-1600),未勝利
201908010104,20190105,15.634,0.188,16,3,1000,1350,350,1,8,2.7,8,2.7,1,270,京都,ダート,1200,sprint(~1200),新馬
201908010105,20190105,16.49,0.125,16,2,1000,1200,200,1,14,1.5,14,1.5,1,150,京都,苝,1800,middle(1601-2000),新馬
201908010106,20190105,13.459,0.188,16,3,1100,1320,220,1,4,2.2,4,2.2,1,220,京都,ダート,1800,middle(1601-2000),G1
201908010107,20190105,23.365,0.125,16,2,1000,0,-1000,0,4,18.3,9,1.6,0,0,京都,苝,2000,middle(1601-2000),G1
201908010108,20190105,4.73,0.333,6,2,1000,1150,150,1,4,2.3,4,2.3,1,229,京都,苝,2000,middle(1601-2000),G1
201908010109,20190105,5.95,0.188,16,3,900,1140,240,1,12,1.9,12,1.9,1,190,京都,ダート,1800,middle(1601-2000),G1
